period,providerRecordId,extractDate,serviceStartDate,serviceEndDate,invoiceStartDate,invoiceEndDate,providerInvoiceId,providerFinalBillFlag,providerName,assetAccountId,billingAccountId,providerRegion,assetName,providerAssetId,description,quantity,unitOfMeasure,providerCurrency,pcProviderUnitCost,pcProviderTotalCost,pcProviderTaxCost,pcCustomerUnitCost,pcCustomerTotalCost,customerCurrency,customerConversionRate,customerCurrencyDate,orderId,providerServiceName,providerServiceDescription,tags
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,EAST US 2,fefef,fefef,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,EAST US 2,ewgfage,ewgfage,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,EAST US 2,wdweffew,wdweffew,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,South Central US,jessiesstorageaccount,jessiesstorageaccount,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,South Central US,whyamidoingthis,whyamidoingthis,,0.000432,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,West US,newstrg1,newstrg1,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,West US,teststr00,teststr00,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,North Europe,stylekida,stylekida,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,North Europe,stdtest,stdtest,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg000008,strg000008,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg0009,strg0009,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg000009,strg000009,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,suren,suren,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg000001,strg000001,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg000005,strg000005,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg0008,strg0008,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg0102,strg0102,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg000002,strg000002,,0.000524,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg0006,strg0006,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg0101,strg0101,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg000006,strg000006,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg000003,strg000003,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg0007,strg0007,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg0105,strg0105,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg000007,strg000007,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,kbstorageac,kbstorageac,,0.000432,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,regregregreg,regregregreg,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,neerstorage,neerstorage,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,addingdisktetst,addingdisktetst,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,smokeh206,smokeh206,,0.000432,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,affinitygroupsftw,affinitygroupsftw,,0.000529,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,cm22327,cm22327,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,EastUS,snWebApp2SN,/subscriptions/77da2c98-be85-427e-b959-ede022db4f2d/resourceGroups/Default-Storage-EastUS/providers/Microsoft.Web/sites/snWebApp2SN,,0.032256,Website,USD,0,0,0.0,0,0,USD,1.0,,,Microsoft.Web,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,SouthCentralUS,testsyncvm,/subscriptions/d5d1919d-1ed6-4437-9ddd-3140a7eb8173/resourceGroups/ArmSync/providers/Microsoft.Web/sites/testsyncvm,,0.032256,Website,USD,0,0,0.0,0,0,USD,1.0,,,Microsoft.Web,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,JA West,stgkoijbhd,stgkoijbhd,,0.000528,GB,USD,0,0,0.0,0,0,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,JA West,stgkoijbhd,stgkoijbhd,,0.0006,GB,USD,0.136203866432337,8.1722319859e-05,0.0,0.136203866432337,8.1722319859e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,South Central US,jessiesstorageaccount,jessiesstorageaccount,,0.000624,GB,USD,0.087334384186086,5.4496655732e-05,0.0,0.087334384186086,5.4496655732e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,South Central US,whyamidoingthis,whyamidoingthis,,0.000504,GB,USD,0.087334384186086,4.401652963e-05,0.0,0.087334384186086,4.401652963e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,EAST US 2,wdweffew,wdweffew,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,EAST US 2,fefef,fefef,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,EAST US 2,ewgfage,ewgfage,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,West US,newstrg1,newstrg1,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,West US,teststr00,teststr00,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,North Europe,stdtest,stdtest,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,North Europe,stylekida,stylekida,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,suren,suren,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,smokeh206,smokeh206,,0.000504,GB,USD,0.087334384186086,4.401652963e-05,0.0,0.087334384186086,4.401652963e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,addingdisktetst,addingdisktetst,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,neerstorage,neerstorage,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,regregregreg,regregregreg,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,kbstorageac,kbstorageac,,0.000504,GB,USD,0.087334384186086,4.401652963e-05,0.0,0.087334384186086,4.401652963e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,cm22327,cm22327,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,affinitygroupsftw,affinitygroupsftw,,0.000624,GB,USD,0.087334384186086,5.4496655732e-05,0.0,0.087334384186086,5.4496655732e-05,USD,1.0,,,Storage,,
201703,,2017-06-15 10:25:38,,,20170701,2017-07-11,estimated,,Azure,53248,53248,East US,strg000009,strg000009,,0.0006,GB,USD,0.087334384186086,5.2400630512e-05,0.0,0.087334384186086,5.2400630512e-05,USD,1.0,,,Storage,,
